,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
55427,"PORTACIÓN, FABRICACIÓN E IMPORTACIÓN DE OBJETOS APTOS PARA AGREDIR",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,20:34:00,CUAUHTEMOC,CENTRO III
55430,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,20:35:00,AZCAPOTZALCO,SAN BARTOLO CAHUALTONGO (PBLO)
55432,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-06,10:55:00,TLAHUAC,LA HABANA
55435,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,21:10:00,ALVARO OBREGON,ALPES
55473,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,22:50:00,IZTAPALAPA,2A AMPLIACION SANTIAGO ACAHUALTEPEC I
55475,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,22:38:00,ALVARO OBREGON,LOMAS DE LA ERA
55479,ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-18,13:30:00,AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO
55516,DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,12:40:00,TLAHUAC,LA CONCHITA II
55517,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-22,12:00:00,GUSTAVO A. MADERO,LA CRUZ (BARR)
55524,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,VICTIMA,FUERO COMUN,2023,Marzo,2023-03-21,02:28:00,CUAUHTEMOC,ROMA SUR I
55525,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-22,11:55:00,GUSTAVO A. MADERO,SAN JUAN III (U HAB)
55526,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Marzo,2023-03-21,02:50:00,BENITO JUAREZ,NARVARTE I
55528,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,02:30:00,TLAHUAC,FRANCISCO VILLA
55529,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-22,08:53:00,GUSTAVO A. MADERO,TRIUNFO DE LA REPUBLICA
55531,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Marzo,2023-03-21,03:40:00,BENITO JUAREZ,ALAMOS I
